Clue (6),ANSWER
 Gawks at (6),STARES
 Beatles Ringo (5),STARR
 Brenda of the comics (5),STARR
 One of the Fab Four (5),STARR
 Like the Milky Way (6),STARRY
 Galactic bits (5),STARS
 Leading players (5),STARS
 Appropriate word here? (5),START
 Hit the trail (5),START
 Begins to play (6),STARTS
 RR stops (4),STAS
 RR stops (4),STAS
 When all forces are at rest (6),STASES
 Hoard (5),STASH
 Secret supply (5),STASH
 ASAP (4),STAT
 ASAP in the ER (4),STAT
 At once! (4),STAT
 RBI. e.g. (4),STAT
 RBI. for one (4),STAT
 Sports fig. (4),STAT
 Condition (5),STATE
 Declare (5),STATE
 Mississippi. for one (5),STATE
 Speak one's mind (5),STATE
 Union member (5),STATE
 Washington. for one (5),STATE
 Put into words (6),STATED
 Put into words (6),STATED
 Transmitted vocally (6),STATED
 RBI and ERA (5),STATS
 Three-dimensional likeness (6),STATUE
 ___ quo (6),STATUS
 Barrel part (5),STAVE
 Barrel part (5),STAVE
 Corset feature (4),STAY
 Don't budge (4),STAY
 Order to Fido (4),STAY
 Remain (4),STAY
 Remain (4),STAY
 Stick around (4),STAY
 Couch potato (10),STAYATHOME
 Didn't raise (6),STAYED
 Remained (6),STAYED
 Don't exit (6),STAYON
 Extend one's visit (6),STAYON
 Corset stiffeners (5),STAYS
 Codes of conduct. in brief (4),STDS
 Levels of requirement: Abbr. (4),STDS
 Purpose (5),STEAD
 Substitutes' places (6),STEADS
 T-bone. e.g. (5),STEAK
 Real bargain (5),STEAL
 Shoplift (5),STEAL
 Shopper's bargains (6),STEALS
 Vapor (5),STEAM
 Inland waterway conveyances (10),STEAMBOATS
 High-spirited mount (5),STEED
 Silver. to the Lone Ranger (5),STEED
 Spirited carrier (5),STEED
 Spirited horse (5),STEED
 Stable population (6),STEEDS
 Pittsburgh export (5),STEEL
 Type of wool (5),STEEL
" Brosnan series. ""Remington ____"" (6)",STEELE
 TV's Remington (6),STEELE
 Prepares for battle (6),STEELS
 Stiffens up (6),STEELS
 Dutch master (5),STEEN
 Dutch painter Jan (5),STEEN
 Inclined sharply (5),STEEP
 Precipitous (5),STEEP
 Cattle ranch critter (5),STEER
 It may have a brand name (5),STEER
 Take the helm (5),STEER
 They're on hooves (6),STEERS
 Netman Edberg (6),STEFAN
 Mug (5),STEIN
 Inscribed pillar (5),STELA
 Inscribed stone (5),STELE
 Inscribed stone slab (5),STELE
 Stone marker (5),STELE
 Stone slab (5),STELE
 She got her groove back (6),STELLA
 Sister of Luther Adler (6),STELLA
 Arrest (4),STEM
 Bud supporter (4),STEM
 Derive from (4),STEM
 Flower holder (4),STEM
 Glass part (4),STEM
 Pansy prop (4),STEM
 Part of a champagne glass (4),STEM
 Plant stalk (4),STEM
 Stern's other end? (4),STEM
 Watch part (4),STEM
 Wine glass part (4),STEM
 Holds back (5),STEMS
" ""Nana"" star (4)",STEN
 British carbine (4),STEN
 British gun (4),STEN
 Thompson machine gun substitute (4),STEN
 Pool member (5),STENO
 Pool member (5),STENO
 Shorthand hand? (5),STENO
 Court reporters (6),STENOS
 British pieces (5),STENS
 Surgical aids (6),STENTS
" ""Watch your ___!"" (4)",STEP
" ""Watch your ____!"" (4)",STEP
 Choreographic piece (4),STEP
 Dance lesson (4),STEP
 Dance maneuver (4),STEP
 Footfall (4),STEP
 Part of a method (4),STEP
 Pas. e.g. (4),STEP
 Precedes up and down (4),STEP
 Staircase component (4),STEP
 Very short distance (4),STEP
 Eurasian grassland (6),STEPPE
 Ukranian geographical feature (6),STEPPE
 Actions (5),STEPS
 Arthur Murray moves (5),STEPS
 Dance movements (5),STEPS
 Series of actions (5),STEPS
 Accelerate (6),STEPUP
 Gang or mob follower (4),STER
 Suffix for hip or gang (4),STER
 Trick finisher (4),STER
 Young or old ending (4),STER
 Cubic meter (5),STERE
 Cubic meter (5),STERE
 Metric measure (5),STERE
 Volume measurement (5),STERE
 Home music maker (6),STEREO
 Seen in most teens' rooms (6),STEREO
 Sound system (6),STEREO
" ""Private Parts"" author (5)",STERN
 Exacting (5),STERN
 Strict (5),STERN
 Campstove fuel (6),STERNO
 Caterer's warming device (6),STERNO
 Heat source for campers (6),STERNO
 Fr. holy women (4),STES
 Jeanne and Agnes (4),STES
 Jeanne and Rose (4),STES
" ""Leave it in."" editorially (4)",STET
 Dele's superceder (4),STET
 Editor's marginal note (4),STET
 Editor's notation (4),STET
 Editorial notation (4),STET
 Let it stand (4),STET
 Margin marking (4),STET
" Opposite of ""dele"" (4)",STET
 Opposite of dele (4),STET
 Printer's direction (4),STET
 Printer's term (4),STET
 Printing direction (4),STET
 Proofer's mark (4),STET
 Proofreader's word (4),STET
 Undo a dele (4),STET
 Bouillabaisse. for one (4),STEW
 Goulash (4),STEW
 Hearty dish (4),STEW
 Meat treat (4),STEW
 Slow-cooked meal in a pot (4),STEW
 Slumgullion. e.g. (4),STEW
 Worry (4),STEW
 Worry about (4),STEW
 Worry about (4),STEW
 Frets (5),STEWS
 Fails to tip (6),STIFFS
 Suppress. as a cough (6),STIFLE
 Sign of disgrace (6),STIGMA
 Metro entrance (5),STILE
 Motionless (5),STILL
 Clown booster (5),STILT
 Leg extender (5),STILT
 Clown props (6),STILTS
 Uplifting experience at the circus? (6),STILTS
 Uplifting pair (6),STILTS
" ""Goosebumps"" creator (5)",STINE
 Assignment (5),STINT
 Cut corners (5),STINT
 Tour of duty (5),STINT
 Mushroom stalk (5),STIPE
 Awaken (4),STIR
 Begin to move (4),STIR
 Combine (4),STIR
 Recipe directive (4),STIR
 Recipe instruction (4),STIR
 Row (4),STIR
 Ruckus (4),STIR
 Tend to the sauce (4),STIR
 Turmoil (4),STIR
 Calabooses (5),STIRS
 Sets in motion (5),STIRS
 Battle site. WWII (4),STLO
 Center of 1944 battles (4),STLO
 Historic Normandy city (4),STLO
 Historic Normandy city (4),STLO
 Historic Normandy town (4),STLO
 July 4. 1944 target (4),STLO
 Normandy town (4),STLO
 Normandy town (4),STLO
 Normandy town (4),STLO
 WWII battle site (4),STLO
 WWII battle site (4),STLO
 WWII battle site (4),STLO
 Ancient porch (4),STOA
 Athens portico (4),STOA
 Covered walkway (4),STOA
 Greek colonnade (4),STOA
 Greek porch (4),STOA
 Greek portico (4),STOA
 Portico (4),STOA
 Portico (4),STOA
 Classical walks (5),STOAS
 Greek colonnades (5),STOAS
 Short tail weasel (5),STOAT
 Summer ermine (5),STOAT
 Summer weasel (5),STOAT
 Keep on hand (5),STOCK
 Seemingly indifferent (5),STOIC
 Feed the fire (5),STOKE
 He brought Dracula to life (6),STOKER
 Basilica garment (5),STOLE
 Pilfered (5),STOLE
 Shoulder scarf (5),STOLE
 Pilfered (6),STOLEN
 Plundered (6),STOLEN
 Robbed (6),STOLEN
 Formal wraps (6),STOLES
 Leaf opening (5),STOMA
 Jazz dance (5),STOMP
 Savoy step? (5),STOMP
" ""Platoon"" director Oliver (5)",STONE
 Paving material (5),STONE
 Ezra and Sharon (6),STONES
 Like some beaches (5),STONY
 Crouches down (6),STOOPS
 Cease (4),STOP
 Cease and desist (4),STOP
 Halt (4),STOP
 Layover (4),STOP
 Octagonal sign (4),STOP
 Scrub a mission (4),STOP
 Traffic sign (4),STOP
" ""...face that would ____ clock"" (5)",STOPA
 Organ settings (5),STOPS
 Husband (5),STORE
 Squirrel away (5),STORE
 Part of the British Library? (6),STOREY
 Baby bird? (5),STORK
 Baby bird? (5),STORK
 University of Connecticut site (6),STORRS
 Fifth or sixth. perhaps (5),STORY
 Yarn (5),STORY
 Pub brew (5),STOUT
 Wolfe man (5),STOUT
 Cooker (5),STOVE
 Kitchen appliance (5),STOVE
 One of Franklin's inventions (5),STOVE
 Put away (4),STOW
 Put away (4),STOW
 Put safely away (4),STOW
 Use the overhead (4),STOW
" Author of ""The Minister's Wooing"" (5)",STOWE
 Harriet Beecher _____ (5),STOWE
 Tucked away (6),STOWED
 Another fine 15A (5),STRAD
 Fine instrument. familiarly (5),STRAD
" Fellini film (with ""La"") (6)",STRADA
 Go beyond the limit (6),STRAIN
 Harness part (5),STRAP
 Parachute parts (6),STRAPS
" ""That's the last ______!"" (5)",STRAW
 Scarecrow filler (5),STRAW
 Sipper (5),STRAW
 Soda sipper (5),STRAW
 Sucker (5),STRAW
 Wander off (5),STRAY
 BLITZEN (6),STREAK
 Mean. for one (6),STREAK
 Mason's secretary (6),STREET
 Patrolman's assignment (10),STREETBEAT
 Sore throat. briefly (5),STREP
 Throat infection (5),STREP
 Cause of burnout (6),STRESS
 Groove (5),STRIA
 Narrow furrow (5),STRIA
 Narrow grooves (5),STRIA
 Parallel lines (5),STRIA
 Thin line or band (5),STRIA
 They're groovy (6),STRIAE
 Kegler's target (10),STRIKEZONE
 Bare all (5),STRIP
 Disrobe (5),STRIP
 Husk (5),STRIP
" TV series. ""77 Sunset ___"" (5)",STRIP
 Do one's utmost (6),STRIVE
 Photographer's light (6),STROBE
 ____ Thurmond (5),STROM
 Powerful (6),STRONG
 Well-fortified (6),STRONG
 Barber's sharpener (5),STROP
 Violins. cellos. etc. (4),STRS
 Prance (5),STRUT
 Restoration royal family (6),STUART
 End of a ticket (4),STUB
 Movie souvenir (4),STUB
 Like a well-used pencil (6),STUBBY
 Decorative plaster (6),STUCCO
 Dress shirt need (4),STUD
 Tiny earring (4),STUD
 Tuxedo decoration (4),STUD
 Things (5),STUFF
 Bedazzle (4),STUN
 Daze (4),STUN
 Fill with awe (4),STUN
 Stupefy (4),STUN
 Wow (4),STUN
 Wow (4),STUN
 Bowls over (5),STUNS
 Doubles' job (5),STUNT
 ___ und Drang (5),STURM
 DONNER (10),STURMSOUND
 Eye affliction (4),STYE
 Eye problem (4),STYE
 Eye sore? (4),STYE
 Eye problems (5),STYES
 Eye problems (5),STYES
 Porky's places (5),STYES
 Class (5),STYLE
 Class (5),STYLE
 Manner (5),STYLE
 Mode (5),STYLE
 Designer. of sorts (6),STYLER
 Fashions (6),STYLES
 Engraving instrument (6),STYLET
 Phonograph needle (6),STYLUS
 Thwart (6),STYMIE
 River in the Ukraine (4),STYR
" ""Show Me The Way"" band (4)",STYX
 River next to Hades (4),STYX
 Where Charon rowed (4),STYX
 Debonair (5),SUAVE
 Present (6),SUBMIT
 Delicatessen? (10),SUBSTATION
 Like some hints (6),SUBTLE
 Like (4),SUCH
 For example (6),SUCHAS
 Ethiopia's neighbor (5),SUDAN
 Red Sea borderer (5),SUDAN
 Bath bubbles (4),SUDS
 Washer overflow (4),SUDS
 Brought charges (4),SUED
 Glove and shoe material (5),SUEDE
 Like Elvis' blue shoes (5),SUEDE
 Soft-shoe material (5),SUEDE
 Soft materials (6),SUEDES
 Dare from a litigant (5),SUEME
 Litigant (4),SUER
 Bird's treat (4),SUET
 Chop ender (4),SUEY
 Egypt's canal (4),SUEZ
 Sweetener (5),SUGAR
 Term of endearment (5),SUGAR
 Businesswear (4),SUIT
 Clubs or spades. but not saws (4),SUIT
 Group of hotel rooms (5),SUITE
 Hotel offering (5),SUITE
 Beau (6),SUITOR
 Toni Morrison novel (4),SULA
 Poison ___ (5),SUMAC
 Drainage pit (4),SUMP
 Drainage pit (4),SUMP
 Recap (5),SUMUP
 Fountain treat (6),SUNDAE
 Like many a galleon (6),SUNKEN
 Bathed in rays (6),SUNLIT
 Moslem sect (5),SUNNI
 Phoenix cagers (4),SUNS
" ""Terrific!"" (5)",SUPER
 Marvelous! (5),SUPER
 Excellent (6),SUPERB
 Absolutely fabulous (10),SUPERDUPER
 Trickster. to the extreme? (10),SUPERDUPER
 Shade cap. to the extreme (10),SUPERVISOR
 Late-night meal (6),SUPPER
 Soft. twilled silk (5),SURAH
 Irrational number (4),SURD
" ""Natch"" (4)",SURE
 Cocky (4),SURE
 Confident (4),SURE
 Of course (4),SURE
 Trustworthy (4),SURE
 Unfailing (4),SURE
 More positive (5),SURER
 More positive (5),SURER
 Most certain (6),SUREST
 Most reliable (6),SUREST
 Ride the waves (4),SURF
 Hangs ten (5),SURFS
 It may be seaweed-wrapped (5),SUSHI
 Seaweed wrapped fish (5),SUSHI
 ____-Q (5),SUSIE
 ___ Quatro as Leather Tuscadero (4),SUZI
 Clean the deck (4),SWAB
 He may be on deck (4),SWAB
 Sea dog (4),SWAB
 Wipe up (4),SWAB
 Mops (5),SWABS
 Plunder (4),SWAG
 Window treatment (4),SWAG
 Did laps (4),SWAM
 Did the butterfly (4),SWAM
 Hindu mystic (5),SWAMI
 Hindu religious teacher (5),SWAMI
" ""___ Lake"" (4)",SWAN
 Graceful bird (4),SWAN
 Graceful bird (4),SWAN
 Graceful swimmer (4),SWAN
 The Ugly Duckling. really (4),SWAN
 Kind of meet (4),SWAP
 Trade (4),SWAP
 Police team (4),SWAT
 South African kingdom's natives (6),SWAZIS
 Use four-letter words (5),SWEAR
 Alfred Nobel (5),SWEDE
 Alfred Nobel. for one (5),SWEDE
 Garbo was one (5),SWEDE
 Garbo was one (5),SWEDE
 Man of Malmo (5),SWEDE
" ""___ are the uses of adversity"" (5)",SWEET
 Cake and ice cream (6),SWEETS
 Apace (5),SWIFT
 Paddle in the pool (4),SWIM
 Take a dip (4),SWIM
 Genre for Benny and Artie (5),SWING
 Golf pro's recommendation? (10),SWINGSHIFT
 Sibilating sound (5),SWISH
 Surprising variation (10),SWITCHEROO
 Ain't it grand? (10),SWONDERFUL
 Faint (5),SWOON
 Rush at suddenly (5),SWOOP
 In __. as one (4),SYNC
 In ___ (all together) (4),SYNC
 Out of: (uncoordinated) (4),SYNC
" ""Auld Lang ___"" (4)",SYNE
 Auld Lang  ____ (4),SYNE
 Auld Lang ___ (4),SYNE
 December 31st word (4),SYNE
 End of a New Years' song (4),SYNE
 Church group (5),SYNOD
 Church groups (6),SYNODS
 Thesaurus entries: Abbr. (4),SYNS
 One of the Levant States (5),SYRIA
 Plan (6),SYSTEM
 Female cat (5),TABBY
 Sock for zoris (4),TABI
 Hindu drum set (5),TABLA
 Defer (5),TABLE
 Take up later (5),TABLE
 Postponed (6),TABLED
 Set aside (6),TABLED
 Pill (6),TABLET
 Verboten (5),TABOO
 Fifer's drum (5),TABOR
 Small drum (5),TABOR
 Labels (4),TABS
 PC keys (4),TABS
 Absolute no-no (4),TABU
 Forbidden: Var. (4),TABU
 No-no (4),TABU
 Verboten (4),TABU
 ___ rasa (6),TABULA
 ___rasa (6),TABULA
 Implied (5),TACIT
 Unspoken (5),TACIT
 Crude (5),TACKY
 Mexican treat (4),TACO
 Snack in Sonora (4),TACO
 Stuffed tortilla (4),TACO
 Tampico food (4),TACO
 Tex-Mex snack (4),TACO
 Tex-Mex snack (4),TACO
 Tortilla snack (4),TACO
 __ Bell (4),TACO
 Washington seaport (6),TACOMA
 Fast food items (5),TACOS
 Fast food treats (5),TACOS
 Diplomat's asset (4),TACT
 Diplomat's forte (4),TACT
 Savoir-faire (4),TACT
 Military maneuver (6),TACTIC
 27th President (4),TAFT
 Big White House occupant (4),TAFT
 Roosevelt follower (4),TAFT
 Whitehouse family (5),TAFTS
 Makes it (4),TAGS
 Gauguin's final setting (6),TAHITI
 South Sea island (6),TAHITI
 Lake in Nevada (5),TAHOE
 Nevada resort lake (5),TAHOE
 Western border lake (5),TAHOE
 Western resort (5),TAHOE
 Tundra neighbor (5),TAIGA
 Appendage (4),TAIL
 Follow (4),TAIL
 Follow (4),TAIL
 It's pinned on a donkey (4),TAIL
 Kite need (4),TAIL
 Followed (6),TAILED
 Detective's role at times (6),TAILER
 Contaminate (5),TAINT
 Brands (6),TAINTS
 Taiwan's capital (6),TAIPEI
 Taiwan's capital (6),TAIPEI
 British architect. Thomas Smith ____ (4),TAIT
" ""____this Job and Shove It"" (4)",TAKE
" ""___my wife. Please."" (4)",TAKE
 Accept (4),TAKE
 Accept uncomplainingly (4),TAKE
 Pickings (4),TAKE
 ____ flyer: go for it (5),TAKEA
 Deal with (6),TAKEON
 Loots (5),TAKES
 Photographs (5),TAKES
 Loses a boxing match (10),TAKESADIVE
 Loses intentionally (10),TAKESADIVE
 Begin to like (6),TAKETO
 After bath dust (4),TALC
 After-bath powder (4),TALC
 Bath powder (4),TALC
 Shower powder (4),TALC
 Soapstone (4),TALC
 Soft mineral (4),TALC
 Soft mineral (4),TALC
 Baby powders (5),TALCS
" ""A ___ of Two Cities"" (4)",TALE
 Cock and bull story (4),TALE
 Fable (4),TALE
 Questionable account (4),TALE
 Yarn (4),TALE
 Knack (6),TALENT
 Scout's quest (6),TALENT
 Silver Germanic coin (5),TALER
 Fictitious narratives (5),TALES
 Tall ones? (5),TALES
 Whoppers (5),TALES
 Anklebones (4),TALI
 ____ Radio (4),TALK
 Like Rebecca Lobo (4),TALL
 Like some tales (4),TALL
" Little Richard's ""Long ___ Sally"" (4)",TALL
 Ritual shawl (6),TALLIS
 Candle ingredient (6),TALLOW
 Candle substance (6),TALLOW
 Add (up) (5),TALLY
 Add up (5),TALLY
 Count (5),TALLY
 Claw (5),TALON
 Eagle claw (5),TALON
 Hawk's hook (5),TALON
 Raptor's nail (5),TALON
 Domesticated (4),TAME
 Subdue (4),TAME
 Unresisting (4),TAME
 Civilized (5),TAMED
 Toned down (5),TAMED
 Domesticates (5),TAMES
 Language of Sri Lanka (5),TAMIL
 Pack down (4),TAMP
 Florida bowl site (5),TAMPA
 Yukon feeder (6),TANANA
 John Marshall's successor (5),TANEY
 Chinese dynasty (4),TANG
 Kool-Aid competitor (4),TANG
 Space drink (4),TANG
 Zest (4),TANG
 Get knotted up (6),TANGLE
" ""Last____ in Paris"" (5)",TANGO
 Ballroom move (5),TANGO
 Valentino's dance (5),TANGO
 Oil container (4),TANK
" Prepared for a trip. with ""up"" (6)",TANKED
 ___ up (filled with petrol) (6),TANKED
 Beach acquisitions (4),TANS
 Catches rays (4),TANS
 Catches rays. e.g. (4),TANS
 Converts a hide (4),TANS
 Converts hide into leather (4),TANS
 Gets some rays (4),TANS
 Summer acquisitions (4),TANS
 Whips (4),TANS
 Wife of mon oncle (5),TANTE
 Singer Tucker (5),TANYA
 New Mexico art community (4),TAOS
 New Mexico artists' colony (4),TAOS
 New Mexico resort (4),TAOS
 New Mexico resort town (4),TAOS
 Western art center (4),TAOS
 Paperlike cloth (4),TAPA
 Cassette contents (4),TAPE
 Record (4),TAPE
 Record (4),TAPE
 Record (4),TAPE
 Reduce gradually (5),TAPER
 Nixon obsession (5),TAPES
 VCR need (5),TAPES
 Jungle ungulate (5),TAPIR
 Long-lipped mammal (5),TAPIR
 1981 Tom Cruise movie (4),TAPS
 Fictional plantation (4),TARA
 Mitchell mansion (4),TARA
 Ms. Lipinski (4),TARA
 Scarlett's home (4),TARA
 Skater Lipinsky (4),TARA
 Exercise routines for sailors? (10),TARBENDERS
 Juan's afternoon (5),TARDE
 Late (5),TARDY
 Weight allowance (4),TARE
 Light shield (5),TARGE
 Small round shield of old (5),TARGE
 Mountain lake (4),TARN
 Mountain lake (4),TARN
 Mountain pond (4),TARN
 Edible root (4),TARO
 Edible root (4),TARO
 Source of poi (4),TARO
 Source of poi (4),TARO
 Starchy root (4),TARO
 Tropical tuber (4),TARO
 Edible roots (5),TAROS
 Starchy tubers (5),TAROS
 22 card deck (5),TAROT
 Fortune-teller's deck (5),TAROT
 Medium for mediums (5),TAROT
 Seer's card (5),TAROT
 Telling card (5),TAROT
 Field protector (4),TARP
 They cover a lot of ground (5),TARPS
 Prepped for feathers (6),TARRED
 Repaved (6),TARRED
 Sailors (4),TARS
 Sea dogs (4),TARS
 Swabs (4),TARS
 Ankle bones (5),TARSI
 Birthplace of St. Paul (6),TARSUS
 Bakery treat (4),TART
 Bite-sized pie (4),TART
 Like pomegranate seeds (4),TART
 Patisserie product (4),TART
 Pungent (4),TART
 Quiche. for one (4),TART
 Plaid fabric (6),TARTAN
 Savage one (6),TARTAR
 Dessert in Deauville (5),TARTE
 Bakery treats (5),TARTS
 Pastries (5),TARTS
 Small pies (5),TARTS
 Estonian city (5),TARTU
 Chore (4),TASK
 Job (4),TASK
 To-do item (4),TASK
 Tisket's partner (6),TASKET
 Chores (5),TASKS
 Things to do (5),TASKS
 ITAR-_ (4),TASS
 Russia's Itar-___ news agency (4),TASS
 Russia's Itar-___ news agency (4),TASS
 Russian news agency (4),TASS
 USSR news agency (4),TASS
" ""A ___ of Honey"" (5)",TASTE
 Appetite (5),TASTE
" Herb Alpert hit ""A _____ of Honey"" (5)",TASTE
 Sample (5),TASTE
 Small sampling (5),TASTE
 Try the chile (5),TASTE
 Type of bud (5),TASTE
 Had a sip (6),TASTED
 Sampled (6),TASTED
 Savored (6),TASTED
 Appetizing (5),TASTY
" ""Toodle-oo!"" (4)",TATA
 Bye words (4),TATA
 Folkestone farewell! (4),TATA
 So long! (4),TATA
 Crimean Turks (6),TATARS
 Darren Stevens's boss (4),TATE
 London art gallery (4),TATE
 Spud (5),TATER
 Spud (5),TATER
 Spud (5),TATER
 Spud (5),TATER
 Spud (5),TATER
 Comedian Jacques (4),TATI
 Funny Jacques (4),TATI
 Makes mechlin (4),TATS
 Shred of cloth (6),TATTER
 Big talker (10),TATTLETALE
 Brownish gray (5),TAUPE
 Popular hosiery shade (5),TAUPE
 Rikki-Tikki-___ (4),TAVI
 Like Simba (5),TAWNY
 Made serious demands on (5),TAXED
 Governmental role (5),TAXER
 1970's Andy Kaufman series (4),TAXI
 Curbside cry (4),TAXI
 Fare carrier (4),TAXI
 Hack (4),TAXI
 Heard on the street (4),TAXI
 Picker-upper? (4),TAXI
 Urban vehicle (4),TAXI
 1976 Scorsese film (10),TAXIDRIVER
 Assessment collector (6),TAXMAN
 Checks from Uncle Sam? (10),TAXREFUNDS
 It'll give you a lift (4),TBAR
 Lift at Stowe (4),TBAR
 Lift device (4),TBAR
 Lillehammer lift (4),TBAR
 Ski slope transport (4),TBAR
 Ski-lifts (5),TBARS
 US IOU (5),TBILL
 Gov't investments (6),TBILLS
 Choice cut (5),TBONE
 Prime cut (5),TBONE
 Steak order (5),TBONE
 Steak house orders (6),TBONES
 Steak house orders (6),TBONES
 Recipe qty. (4),TBSP
 Immune system members (6),TCELLS
 Pekoe package (6),TEABAG
 Emulate Mr. Chips (5),TEACH
 Instruct (5),TEACH
 Instruct (5),TEACH
 A hardwood (4),TEAK
 East Indian trees (5),TEAKS
 Blue green (4),TEAL
 Dabbling duck (4),TEAL
 Dabbling duck (4),TEAL
 Ducky color? (4),TEAL
 Greenish blue (4),TEAL
 Mallard cousin (4),TEAL
 Bright greens (5),TEALS
 Fresh-water ducks (5),TEALS
 Freshwater fowls (5),TEALS
 Band of Patriots (4),TEAM
 Mets or Jets (4),TEAM
 Tag-_____ (type of wrestling match) (4),TEAM
 Two mules. e.g. (4),TEAM
 Working together (6),TEAMED
 It whistles while it works (6),TEAPOT
 Tempest spot? (6),TEAPOT
 ____ Dome Scandal (6),TEAPOT
 Dotted-line instruction (4),TEAR
 Glum drop? (4),TEAR
 Go at great speed (4),TEAR
 Open a sugar packet (4),TEAR
 Pull to pieces (4),TEAR
 Rip (4),TEAR
 Rip apart (4),TEAR
 Rip apart (4),TEAR
 Like a happy ending. perhaps? (5),TEARY
 Weeping (5),TEARY
 4 O'clock event (4),TEAS
 Afternoon affairs (4),TEAS
 Afternoon events (4),TEAS
 Darjeeling and Oolong (4),TEAS
 Soho socials (4),TEAS
 Coquette (5),TEASE
 Dangle a carrot (5),TEASE
 Pester (5),TEASE
 Pick on (5),TEASE
 Rib (5),TEASE
 Taunt (5),TEASE
 Kidded (6),TEASED
 Back-combs (6),TEASES
 Afternoon social need (6),TEASET
 Little lady's china (6),TEASET
 High-__ (super-sophisticated) (4),TECH
 Skillful one. for short (4),TECH
 Lingerie item (5),TEDDY
 It's all the same (6),TEDIUM
 Nugent and Turner (4),TEDS
 Turner and Nugent (4),TEDS
 Williams and Koppel (4),TEDS
 Propped a peg for Tiger (4),TEED
 __ off (started a round) (4),TEED
 It's a laugh (6),TEEHEE
 Sneaky laugh (6),TEEHEE
 Abound (4),TEEM
 Abound (4),TEEM
 Overrun (4),TEEM
 Poured (6),TEEMED
 Adolescent (4),TEEN
 Adolescent (4),TEEN
 Ager start (4),TEEN
 Ager starter (4),TEEN
 Arcade patron (4),TEEN
 Archie or Jughead (4),TEEN
 Cause of old age? (4),TEEN
 High schooler (4),TEEN
 Over 12 (4),TEEN
 Seven or nine ender (4),TEEN
 Skateboard rider. usually (4),TEEN
 Spice Girls fan (4),TEEN
 Young adult (4),TEEN
 Singer Marie (5),TEENA
 Adolescent times (5),TEENS
 Can finishers (5),TEENS
 Olympic gymnasts. mostly (5),TEENS
 Young adults (5),TEENS
 Wee (5),TEENY
 Golf equipment (4),TEES
 Links pegs (4),TEES
 Long drives may start from them (4),TEES
 Pegs for a Tiger (4),TEES
 Starting places (4),TEES
 They're found in Tiger Woods' bag (4),TEES
 Cog-wheel parts (5),TEETH
 Drill targets (5),TEETH
 Babies do it (6),TEETHE
 Nothing sticks to it (6),TEFLON
 ____ presidency (Reagan's sobriquet) (6),TEFLON
 Giggle. (5),TEHEE
 Giggle. (5),TEHEE
 Ha ha (5),TEHEE
 Laugh. out loud (5),TEHEE
 Communication prefix (4),TELE
